transaction_id,customer_id,customer_name,timestamp,amount_inr,merchant,city,latitude,longitude,is_fraud
TXN100000,CUST1296,Ishaan Joshi,2026-02-03 02:58:00,2453.71,Local Kirana Store,Gurgaon,28.4595,77.0266,0
TXN100001,CUST1212,Kabir Gupta,2026-02-03 17:56:00,3337.34,Electricity Board,Delhi,28.6139,77.209,0
TXN100002,CUST1256,Neha Nair,2026-08-01 05:16:00,5572.77,PayU Recharge,Gurgaon,28.4595,77.0266,0
TXN100003,CUST1151,Meera Mehta,2026-03-28 03:29:00,2855.57,Swiggy,Bangalore,12.9716,77.5946,0
TXN100004,CUST1115,Sanya Kumar,2026-07-05 21:25:00,1678.56,Cash Withdrawal ATM,Delhi,28.6139,77.209,0
TXN100005,CUST1285,Neha Chatterjee,2026-07-22 12:00:00,1606.89,Flipkart,Bangalore,12.9716,77.5946,0
TXN100006,CUST1232,Ishaan Mehta,2026-07-11 21:16:00,2635.48,Ola,Kolkata,22.5726,88.3639,0
TXN100007,CUST1190,Neha Reddy,2026-03-01 15:01:00,2592.87,Electricity Board,Chennai,13.0827,80.2707,0
TXN100008,CUST1167,Meera Iyer,2026-02-26 20:04:00,2572.83,PayU Recharge,Kolkata,22.5726,88.3639,0
TXN100009,CUST1154,Reyansh Rao,2026-01-30 04:02:00,4902.83,BigBasket,Kolkata,22.5726,88.3639,0
TXN100010,CUST1252,Ishaan Das,2026-03-02 17:08:00,4197.96,Myntra,Delhi,28.6139,77.209,0
TXN100011,CUST1276,Vivaan Chatterjee,2026-07-10 23:09:00,2941.23,Ola,Mumbai,19.076,72.8777,0
TXN100012,CUST1050,Karan Nair,2026-06-07 13:17:00,1187.96,Myntra,Mumbai,19.076,72.8777,0
TXN100013,CUST1111,Ishaan Rao,2026-09-01 07:54:00,1747.8,Ola,Gurgaon,28.4595,77.0266,0
TXN100014,CUST1188,Riya Patel,2026-09-08 20:22:00,1656.43,BigBasket,Kolkata,22.5726,88.3639,0
TXN100015,CUST1097,Sai Mehta,2026-08-31 14:05:00,5487.11,Ola,Hyderabad,17.385,78.4867,0
TXN100016,CUST1010,Anika Rao,2026-03-27 07:08:00,14264.97,Unknown Merchant Ltd,Lagos,6.5244,3.3792,1
TXN100017,CUST1110,Ananya Reddy,2026-03-01 10:49:00,1984.11,Uber,Hyderabad,17.385,78.4867,0
TXN100018,CUST1001,Ananya Gupta,2026-02-07 04:34:00,3503.3,Swiggy,Mumbai,19.076,72.8777,0
